artist,artistID,song,withArtist,withID
,261143,"GANADARA (Feat. 아이유),낙하 (with 아이유),동화 (feat. 아이유) (2021 Remastered),작은 방 (Feat. 아이유),동화 (feat. 아이유),SoulMate (Feat. 아이유),고양이 (Feat. 아이유),연애소설 (Feat. 아이유),누구나 아는 비밀 (With 아이유),결정 (Feat. 아이유),언제쯤이면 (Duet.아이유),노래 불러줘요 (Feat. 아이유),Like You (Feat. 아이유),그대네요 (Duet With 아이유) (Bonus Track),Suga Luv (Valentine Mix) (Feat. 아이유),I KNOW (With. 아이유),247 (Feat. 아이유),희망사항 (Feat. 아이유),월화수목 금토일 (Feat. 아이유 IU),Suga Luv (Feat. 아이유),Suga Luv (Feat. 아이유) (Inst.)","박재범,AKMU (악뮤),김동률,스윗소로우 (SWEET SORROW),김동률,지코 (ZICO),선우정아,에픽하이 (EPIK HIGH),언니네 이발관,형돈이와 대준이,윤현상,god,원티드,성시경,비즈니즈,승리,세 개의 시선,마이티 마우스,수호 (배수호),비즈니즈,비즈니즈","443420,712452,925,175203,925,602056,184910,108356,101111,673585,646177,100007,55255,3305,299169,403841,224398,239366,184926,299169,299169"
,184926,"도둑놈 (New Ver.) (Feat.고유진&수호),이게 말이 돼? (With 수호),Do It For You (Feat. 공형진, 수호, 고우리 Of Rainbow),Do It For You (Radio Edit) (Feat. 수호, 고우리 Of Rainbow),I Cry (Feat. 수호) (Ballad Ver.),I Cry (Feat. 수호) (Rap Ver.),I Cry (Feat. 수호) (Radio Edit Ver.),사랑해.. 그래서 미안해 (Feat. 수호),Long Kiss Good Night (Feat. 수호)","서경석,김태우,The One (더원),The One (더원),리지,리지,리지,김동희,박화요비","9784,182430,160816,160816,449940,449940,449940,25890,2017"
,646177,"Roomer (Feat. 윤현상),표정 (Feat. 윤현상,ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddsssssssssssssssssssssssssssssssssssssssssssssdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddssssssssssssssssssssssssssssssssssssss 김이지),잔상 (Feat. 윤현상)","GRACE,이성찬,크래커 (CRACKER),박경","1867989,556562,859669,650832"
,224398,,,
,55255,양보 (with 원티드),김동률,925
,239366,"남자도 슬프다 (Feat. 마이티 마우스),Just Smile (With 마이티 마우스),몇 월 며칠 몇 시 (Feat. 마이티 마우스),I 'M' U (Feat. Mighty Mouth)","김종국,김태우,지아,M (이민우)","1692,182430,227595,1742"
,3305,"감동이야 (feat. 성시경),안드로메다 (With 성시경, 정유미),세 사람 (With 성시경),뜨거운 안녕 (Feat. 성시경),잘못 (Duet With 성시경),소박했던, 행복했던... (Feat. 성시경)","싸이 (PSY),강승원,토이,싸이 (PSY),박지윤,토이,김연우","3865,34872,100014,3865,1121,100014,6017"
,299169,기다릴게 (Feat. Bizniz),김휘동,44952
,673585,,,
,101111,,,
,100007,,,
,108356,"힙합구조대 (Feat. 에픽하이, 김진표, 주석, 이준, 에릭, 조PD, 김창렬, 바스코),My Life, 나의 삶 (Feat. 에픽하이),힙합구조대 (Radio Edit) (Feat. 에픽하이, 김진표, 주석, 이준, 에릭, 조PD, 김창렬, 바스코),난 말이야... (Feat. 에픽하이, 현아),A Fairy Tale (Feat. Epik High),L.I.E. (Feat. Epik High),몽송(夢送) (Feat. Epik High),유서 (Feat. 에픽하이)","이현도,이현도,이현도,리쌍,미스틱 퍼즐,TBNY,MC몽,TBNY","3614,3614,3614,103289,234066,108359,11538,108359"
,403841,,TPA,749129
,175203,"매일매일 (Feat. 스윗소로우),매일매일 (Inst.),잔정치레 (Feat. 스윗소로우),Let It Snow (Feat. 스윗소로우),So Nice (GMF 2012 Ver.) (Feat. 고영배 & 권정열 & 김현아 & 오지은 & 스윗소로우 & 토마스 쿡 & Lucia),어려운 말 (Feat. Sweet Sorrow)","별,별,배치기,성시경,Grand Mint Band (GMB),조규찬","27033,27033,101886,3305,567072,525"
,925,"너의 바다에 머무네 (With 김동률),아버지의 사랑처럼 (With 이승환, 김동률, 김현철, 김종서, 박용찬, 김돈규)","토이,윤종신","100014,437"
